ID,Вопрос пользователя,Нормализованный вопрос,Аудитория,Категория,Интент,Главный источник,Gena/API mapping,Черновик ответа,Где посмотреть самому,Кто ответственный,Куда задать вопрос,Статус,Приоритет,Sensitive?,Правило против галлюцинаций,Теги,Заметки
1,А с какого возраста можно записать на N направление?,Возраст для записи на направление,все,Направления и рекомендации,direction_age_check,"Гена: Gena_Directions, поля title, minAge, maxAge","Gena_Directions: title, minAge, maxAge","Ответ для сотрудника: «На {направление} можно записаться с {minAge} лет». Если в Гене заполнен maxAge, добавить: «обычно до {maxAge} лет». Если возраст в Гене не заполнен, сказать: «В Гене возраст для {направление} не указан, нужно уточнить у заведующего направления».",Карточка направления в Гене,Заведующий направления,чат направления / методисты,на проверке,high,нет,"Отвечать только если возраст есть в источнике; если сайт и Гена расходятся, показать конфликт.",возраст; направление; запись,Бот подставляет minAge/maxAge из Гены. Без возраста не отвечает числом.
2,А N направление доступно на ИГФ?,Доступность направления на ИГФ,"продажи, админы",Направления и рекомендации,direction_availability_igf,"Гена: Gena_Directions, поля visibility, lessonsFormats","Gena_Directions: visibility, lessonsFormats","Ответ для сотрудника: если направление видимо и нужный формат есть в Гене, сказать: «Да, {направление} доступно для этого формата». Если направление скрыто или нужного формата нет, сказать: «В Гене сейчас нет подтверждения, что {направление} доступно для этого формата; лучше уточнить у продаж или заведующего направления».",Карточка направления в Гене,Заведующий направления,чат направлений,на проверке,high,нет,Не обещать доступность без подтверждения в базе.,ИГФ; доступность; направление,"Нужно подтвердить расшифровку кодов lessonsFormats, чтобы бот уверенно отличал форматы."
3,А кто заведующий направления?,Кто ответственный/заведующий направлением,все,Направления и рекомендации,direction_owner_lookup,Нужен отдельный источник: владельцы направлений,Не найдено в Gena_Directions; нужен источник owners,"Ответ для сотрудника: «За направление {направление} отвечает {Заведующий из Гены}». Если в полной карточке направления заведующий не заполнен, сказать: «В Гене не указан заведующий направления {направление}; уточните у руководителя методистов или в чате методистов».",Карточка направления в Гене,Руководитель методистов,чат методистов,на проверке,medium,нет,Показывать роль и контакт только из актуального источника.,заведующий; owner; направление,Заведующий берется из полной карточки направления: headId -> api.users.getTrainersWithFullName({}).
4,А на направлении будут учить работать с 3D принтенром?,Проверка содержания направления: есть ли 3D-принтер,"продажи, тренер",Направления и рекомендации,direction_content_check,"Гена: Gena_Directions, поля desc, note, downloadLink","Gena_Directions: desc, note, downloadLink","Ответ для сотрудника: если в описании или заметке направления есть нужная тема, сказать: «Да, на {направление} есть {тема}: {краткое подтверждение из Гены}». Если темы нет, сказать: «В актуальном описании {направление} тема {тема} не указана. Можно уточнить у заведующего направления или подобрать ближайшее направление».",Описание/заметка направления,Заведующий направления,чат направления,на проверке,high,нет,"Не обещать навык/тему, если она не указана в программе.",3D принтер; программа; содержание,"Бот ищет тему в desc/note/downloadLink. Если не нашел, не обещает обучение теме."
5,"Ребёнок хочет заниматься N, на каком направлении это будет?",Подбор направления под интерес ребенка,"продажи, тренер",Направления и рекомендации,student_interest_to_direction,"Гена: Gena_Directions, поля title, group, desc, note, minAge, requiredSkillId","Gena_Directions: title, group, desc, note, minAge, requiredSkillId","Ответ для сотрудника: «Под запрос {интерес} подходят: {1-3 направления}. Почему: {короткое совпадение из описания Гены}. По возрасту: {minAge/maxAge}. Если у направления есть prerequisite, добавить: «лучше после {requiredSkillId/предыдущего направления}». Если совпадение слабое, сначала уточнить возраст, опыт, цель и устройство ребенка.",Описание/заметка направления,Продажи / заведующий направления,чат продаж / чат направлений,на проверке,high,нет,"Давать 1-3 варианта и уточняющие вопросы, если матч неочевиден.",интерес; подбор; направление,"Бот подбирает варианты по названию, группе, описанию, заметке и возрасту."
6,Как выдать сертификат на английском?,Выдача сертификата на английском языке,"тренер, админ",Процессы тренера,certificate_issue_english,Справочник тренера,Notion: certificates,"Сертификат можно создать либо напрямую в админке/либо создать через отправленный на проверку материал/во время занятия как отправляешь материал, изменить язык в настройках, где можно исправить имя. Сертификат может быть создан на русском, английском, испанском, немецком, французском, украинском языках
",Справочник тренера; шаблоны сертификатов,Админ обучения,чат админов,требует заполнения,medium,нет,"Не давать ссылку на шаблон, если она не в базе.",сертификат; английский,
7,"У меня на занятии мама сказала сыну, что он дурак, как его поддержать?",Поддержка ребенка при унижении родителем на уроке,тренер,Методика и сложные ситуации,lesson_psychological_support,"Материалы Академии тренеров → Как общаться с родителями; Ребенок – турист, или почему нам важно говорить о безопасной среде на занятиях; Желтая зона. Разница между неудобным и трудным поведением; Вебчик 1.1 Техники работы с трудным и неудобным поведением на занятиях; Справочник тренера → Советы психолога",Notion: difficult_cases,"Если родитель унижает ребёнка на уроке, важно не спорить с родителем и не оценивать родителя, а быстро вернуть ситуацию в безопасное учебное русло. Можно поддержать ребёнка: «Ошибаться нормально, сейчас разберёмся вместе по шагам». Родителю можно нейтрально сказать: «Давайте попробуем поддержать его, так ему будет проще включиться в задание» или предложить пойти выпить кофе на кухню во время занятия. Если ситуация повторяется, ребёнок выглядит подавленным или занятие становится небезопасным, тренер фиксирует кейс и передаёт администратору в канале #admin_support.",Академия тренеров → БД материалов; Справочник тренера → Советы психолога,Методист / куратор / ответственный за сложные ситуации,чат поддержки тренеров,требует заполнения,high,да,Отвечать бережно; не ставить диагнозы; предложить эскалацию.,сложная ситуация; родитель; поддержка,
8,"У ребёнка на уроке в соседней комнате ссорятся родители, что делать?",Ссора родителей рядом с ребенком во время урока,тренер,Методика и сложные ситуации,home_conflict_safety,"Материалы Академии тренеров → Ребенок – турист, или почему нам важно говорить о безопасной среде на занятиях; Желтая зона. Разница между неудобным и трудным поведением; Зелёная зона: как не допустить трудное поведение у детей и подростков?; Вебчик 1.1 Техники работы с трудным и неудобным поведением на занятиях; Справочник тренера → Советы психолога",Notion: safety_cases,"Тренер не вмешивается напрямую в конфликт взрослых и не разбирает семейную ситуацию. Нужно спокойно оценить, может ли ребёнок продолжать занятие и чувствует ли себя достаточно безопасно. Если ребёнок тревожится или ссора мешает уроку, можно предложить короткую паузу и мягко спросить: «Тебе сейчас комфортно продолжать?» Если есть признаки угрозы безопасности или ситуация повторяется, тренер фиксирует кейс и передаёт администратору в канале #admin_support.",Академия тренеров → БД материалов; Справочник тренера → Советы психолога,Куратор / методист / ответственный за безопасность,чат поддержки тренеров,требует заполнения,high,да,При риске безопасности рекомендовать эскалацию по регламенту; не разбирать семейный конфликт.,безопасность; конфликт; урок,
9,"Ребёнок уже прошёл всю основную программу, то что он хочет делать дальше выше, чем мои знания, куда мне его деть?",Маршрутизация продвинутого ученика,"тренер, админ",Методика и сложные ситуации,advanced_student_routing,Справочник тренера → Направления; Индивидуальный трек; Методические рекомендации; Все о Гене,GET /directions/{direction_id}/levels,"Если ученик прошёл основную программу и хочет двигаться дальше, тренер не должен обещать продолжение самостоятельно. Нужно зафиксировать, что ученик уже прошёл, какие проекты сделал, что именно хочет изучать дальше и где запрос выходит за текущую компетенцию тренера. После этого кейс передаётся заведующему направления или методисту. Возможные варианты: индивидуальный трек, перевод к другому тренеру, проектная ветка, смежное направление или дополнительная диагностика уровня.","Справочник тренера → Направления / Индивидуальный трек / Методические рекомендации / Все о Гене
Карта направлений",Заведующий направления / старший тренер,чат направления,требует заполнения,high,нет,Не обещать перевод; предложить диагностику и эскалацию.,продвинутый ученик; маршрут,
10,"Где можно подработать в школе, есть какие-то вакансии?",Внутренние вакансии и подработки,тренер,Процессы тренера,school_vacancies,Справочник Айтигенио / HR,Notion: vacancies,"Посмотреть вакансии на нашей доске и если есть подходящая тебе позиция, то - уведомить о своем желании перейти в другой отдел своего текущего руководителя.
- написать HR-у, который ведет данную вакансию.",HR-страница; канал вакансий,HR,HR чат / форма отклика,требует заполнения,low,нет,Не обещать вакансии без актуального списка.,вакансии; подработка,
11,"У меня есть идея уроков или по новому направлению, куда мне идти?",Куда отправлять идеи уроков/новых направлений,тренер,Процессы тренера,new_lesson_or_direction_idea,Справочник тренера,Notion: ideas_process,Написать в чат #Есть_идея_проблема / руководителю направления https://app.notion.com/p/1d640dee497d80328b8cd298ca557578,Регламент предложений; форма идей,Методический отдел,чат методистов / форма идей,требует заполнения,medium,нет,"Дать путь подачи идеи и критерии, если есть.",идея; урок; направление,
12,А для этого направления нужен установщик?,Нужен ли установщик для направления,"продажи, админ, тренер",Направления и рекомендации,installer_required,"Гена: Gena_Directions, поля note, operationSystems, tabletSystems","Gena_Directions: note, operationSystems, tabletSystems","Ответ для сотрудника: если в заметке Гены указана установка, сказать: «Да, для {направление} нужна предварительная установка/помощь установщика: {что именно указано в Гене}». Если в заметке явно написано, что ничего устанавливать не нужно, сказать: «Для {направление} установщик не нужен». Если в Гене нет такой информации, сказать: «Не вижу подтверждения в Гене, нужно уточнить в техподдержке».",Заметка направления,Технический отдел / заведующий направления,чат техподдержки,на проверке,high,нет,"Не отвечать “не нужен”, если требование не найдено.",установщик; требования,Установщик берется из поля downloadLink полной карточки направления; внутренние детали — из note.
13,Можно ли в школе пройти практику?,Практика/стажировка в школе,все,Процессы тренера,school_internship,Справочник Айтигенио / HR,Notion: internship,Написать руководителю,HR-справочник,HR,HR чат,требует заполнения,low,нет,Уточнить тип практики и дать официальный путь.,практика; стажировка,
14,А как записать ребёнка на групповые занятия,Запись ребенка на групповые занятия,"админ, продажи, тренер",Процессы тренера,group_lesson_enrollment,Справочник Айтигенио,Notion: group_lessons,Записать в чат #групповые-активности и прикрепить ссылку на семью и запрос. Если вы тренер и хотите записать вашего ученика - напишите в #admin_support со ссылкой на ученика. Админчики подхватят. ,Регламент групповых занятий,Админ групп / продажи,чат групповых занятий,требует заполнения,high,нет,Не обещать место в группе без проверки расписания.,группы; запись,
15,А когда стартуют группы по N направлению,Старт групп по направлению,"админ, продажи, тренер",Процессы тренера,group_start_date,Таблица групп / Гена,GET /groups?direction_id={direction_id},,Таблица групп; расписание,Админ групп,чат групп,требует заполнения,high,нет,"Показывать дату только из расписания; если нет даты, эскалировать.",группы; старт; расписание,
16,Что можно предложить дополнительного для ребёнка?,Дополнительные предложения для ученика,"продажи, тренер",Направления и рекомендации,additional_offer,Гена: рекомендации,GET /recommendations?student_profile=...,,Матрица доп. предложений; Гена,Продажи / методист,чат продаж,требует заполнения,medium,нет,Давать только релевантные предложения с условием/возрастом.,допродажа; рекомендация,
17,"Как отправить ребёнку промокод на бесплатное занятие тренеру, как они работают, где их найти?",Промокод на бесплатное занятие: где найти и как отправить,"тренер, админ, продажи",Процессы тренера,trial_promocode,Справочник Айтигенио,Notion: promocodes,"У тренера есть возможность узнать на уроке, какое направление ещё интересно ребёнку. И после этого он может посоветовать родителям записаться на новое направление, которое заинтересует ребенка и предоставить промокод, который позволит пройти первое занятие по нему бесплатно. После того как ребёнок пройдет урок по промокоду и приобретёт пакет занятий для продолжения, тренеру будет начислена денежная «плюшечка». Премия 5$ если ученик продолжил заниматься новым направлением с новым тренером. Премия 15$ если ученик добавил себе занятия по новому направлению, но не отменил при этом ваши занятия.Данный промокод можно отправить на любом занятии, за исключением пробного урока. Для этого нужно нажать на кнопку «Отправить отзыв родителю в мессенджер». Справа от этой кнопки появится плашка «Отправить промокод»  Благодаря этому промокод будет отправлен прямо в кабинет родителю, и он не потеряется.В крайнем случае можно взять свой промо из таблицы https://docs.google.com/spreadsheets/d/10jE-HDKxTELUZnprB0ZONJR3j7mpktVa3uvIk26KM4c/edit?gid=1039375921#gid=1039375921",Регламент промокодов,Продажи / админ,чат продаж,требует заполнения,medium,нет,Не генерировать промокоды; описывать только процесс.,промокод; бесплатное занятие,
