Порядок;Демо-вопрос;Что должен показать бот;Ожидаемое поведение
1;С какого возраста можно записать на Python?;Поиск по направлению и возрасту;"Ответить только если возраст есть в Гене, показать источник."
2;"Ребенок хочет заниматься 3D-принтером, куда его записать?";Маппинг интереса на направление;"Дать варианты или сказать, что темы нет в программе, плюс эскалация."
3;Как выдать сертификат на английском?;Процессная инструкция;Дать короткие шаги и ссылку на шаблон/регламент.
4;"Мама говорит, что не видит прогресса, что ей ответить?";Скрипт сложной коммуникации;"Дать бережный ответ, предложить факты прогресса и эскалацию."
5;"Ребенок прошел всю программу и хочет сложнее, куда его деть?";Маршрутизация продвинутого ученика;Предложить диагностику/старшего тренера/заведующего направления.
6;"У меня упал Гена, что делать?";Техподдержка;Дать первые шаги и чат техподдержки.
7;"На сайте одно, а в Гене другое, где правильно?";Конфликт источников;"Не выбирать самому; показать конфликт и владельца данных."
8;Есть ли материалы по Scratch на английском?;Проверка языка материалов;Ответить по базе или отправить к владельцу локализации.
9;"Хочу отказаться от ученика, что делать?";Регламент тренера;Дать официальный процесс и эскалацию.
10;У нас есть направление по квантовой биологии?;Unknown case;"Сказать “не нашел подтвержденный ответ”, предложить куда задать вопрос."
