Объект;Что нужно боту;GENA API / источник;Используется в интентах;Комментарий для проекта
gena_http_bridge;Единая точка вызова методов Гены;"POST https://portal.itgen.io/api/gena; headers: authorization; body: { methodName, params }";все GENA-интенты;"Токен хранить только на сервере будущей веб-страницы. Не класть в Excel, фронтенд, README или публичные файлы."
directions_snapshot;"Локальный снимок направлений, удобный для бота и редакторов базы";"Лист Gena_Directions; формируется из api.skills.getSkills и api.skills.getSkillsList({})";"direction_age_check; direction_availability_igf; direction_content_check; student_interest_to_direction; installer_required; trial_installer_required; direction_recommendation_policy; methodology_basis; missing_direction_handling; materials_language_availability; device_compatibility; student_profile_direction_match; custom_request_handling";"Это рабочий слой для сотрудников: здесь уже лежат названия, возраст, языки, устройства, описание и заметки без технических вызовов API."
skills_full;Полные данные направлений по skillId и языковым версиям;"methodName: api.skills.getSkills; params: []";"direction_age_check; materials_language_availability; missing_direction_handling";"Возвращает объект, где ключ - skillId, внутри языковые версии ru/en/es/de/fr/he/ukr. Полезно для проверки языков, возраста, ссылок и видимости."
skills_list;"Список направлений по группам, удобный для поиска и рекомендаций";"methodName: api.skills.getSkillsList; params: [{}]";"student_interest_to_direction; direction_recommendation_policy; student_profile_direction_match; missing_direction_handling";"Возвращает массив групп со списком skills. Важные поля: title, desc, minAge, maxAge, visibility, lessonsFormats, operationSystems, tabletSystems, note."
skills_groups;Группы направлений и порядок внутри групп;"methodName: api.skills.getSkillsGroups; params: []";"student_interest_to_direction; student_profile_direction_match; direction_recommendation_policy";"Нужно для понятных рекомендаций: программирование, дизайн, школьные предметы и т.п."
skills_order;Порядок отображения направлений;"methodName: api.skills.getSkillsOrder; params: []";"student_interest_to_direction; missing_direction_handling";"Можно использовать, чтобы показывать рекомендации в привычном для Гены порядке."
skill_ids;Список всех ID направлений;"methodName: api.skills.getAllSkillsIds; params: []";"missing_direction_handling; technical integrity checks";Полезно для сверки полноты локального снимка Gena_Directions.
materials;"Материалы, уроки и детали программы, если desc/note недостаточно";"Кандидаты из бандла: api.materials.getMaterialsByFilter; api.materials.getMaterialDataById; api.materials.getModulesByFilter";"direction_content_check; ai_course_tools; custom_request_handling; materials_language_availability";"Методы найдены в клиентском бандле, но параметры нужно дополнительно подтвердить на реальных примерах. До подтверждения бот использует desc/note/downloadLink."
trainers;"Тренеры по языкам, направлениям и доступности";"Нужен отдельный подтвержденный источник; кандидаты из бандла: api.users.getTrainersWithFullName, api.users.getPublicTrainerDataById";"teacher_language_availability; special_needs_teacher_match";"Gena_Directions показывает языки направления, но не подтверждает, что есть свободный тренер на этом языке."
owners;Заведующие/ответственные за направления;Не найдено в api.skills.*;direction_owner_lookup;Нужна отдельная таблица владельцев или новое поле в Гене. Без нее бот не называет ответственного.
ai_services_status;"Актуальность AI-инструментов по странам, РФ/РБ и VPN";Не найдено в api.skills.*;ai_tools_availability;"Нужна отдельная таблица с сервисом, страной, статусом, VPN и датой проверки."
sales_services;"Услуги поступления, подбора вуза, консультаций";Не найдено в api.skills.*;admission_consulting;Нужен справочник услуг/продаж. Через направления Гены такие обещания делать нельзя.
inclusion;Готовность тренеров работать с РАС/особыми запросами;Не найдено в api.skills.*;special_needs_teacher_match;Нужен регламент инклюзии и таблица/CRM с отметкой готовности тренера.
formats_dictionary;Расшифровка кодов lessonsFormats;Нужен словарь кодов платформы;"direction_availability_igf; trial_installer_required; direction_recommendation_policy";"В данных направлений есть lessonsFormats, но для уверенного ответа нужно закрепить, какой код означает какой формат."
skill_full_card;"Полная карточка направления: заведующий, внутренняя заметка, шаблон, установщик, Tilda, коэффициенты, ОС/планшет";"methodName: api.skills.getSkill; params: [{ skillId }]";"direction_owner_lookup; direction_content_check; installer_required; trial_installer_required; ai_course_tools; methodology_basis; custom_request_handling";"Это основной источник для карточки направления. Список api.skills.getSkillsList удобен для поиска, но полные поля нужно брать отсюда."
trainers_full_name;Расшифровка headId в имя заведующего/тренера;"methodName: api.users.getTrainersWithFullName; params: [{}]";"direction_owner_lookup; teacher_language_availability; special_needs_teacher_match";Для заведующего: взять headId из api.skills.getSkill и найти пользователя по _id. Для Scratch headId=sWz3o373r3Mgff2Ec -> Мурина Ольга.
