skillId;Название;Заведующий;headId;Мин. возраст;Макс. возраст;Доступность для записи;Максимальная длительность;Установщик;Видео презентация;ОС;Планшет;Пинок по АЗ;Формат;Описание направления;Страница на Tilda;Ссылка для ЛК с Tilda;Шаблон;Внутренняя заметка;Коэффициент;ИГФ;ИФ;ГФ;Языковое направление;Без оплаты тренеру;Отображение пожелания родителя;Обязательное пожелание родителя;Группа;visibility;requiredSkillId;languages;visibleLanguages;downloadLink
12;3D Zbrush;Капариха Татьяна;TuuxHqNwgt3udSSkP;13;;Доступно;2;https://docs.google.com/document/d/1tkfCCzlc7nK2NUy5scMoWSzcWQYxQ1Tv/edit;;"Windows, MacOS, Linux, ChromeOS";;Да;"Индивидуальный, Индивидуально-групповой";"Курс для будущих 3d-моделлеров: цифровая лепка из виртуального пластилина на профессиональном уровне. Создание сложных детализированных персонажей и объектов для видео и игровой индустрии, медицины, промышленности, подготовка к 3d печати.";https://itgen.io/design/3d-sculpting-zbrush;https://itgen.io/3d-zbrush-gena;;"[#zbrush](https://itgenio.slack.com/archives/C03H9E70ATV)

**
**

**Рекомендуем новым клиентам только в крайнем случае (если хотят ТОЛЬКО это и больше НИЧЕГО нет)** 

**Чему научим?**

Научим создавать простые и сложные цифровые скульптуры, моделировать персонажей из любимых игр, ювелирные изделия, одежду и обувь. Такая цифровая лепка идеальна для создания людей, животных, и вообще всего органического. Модели можно использовать в связке с другими программами и движками для создания игр и печатать на 3Д принтере.

.

**Особенности в обучении?**

ZBrush позволяет создавать модели с миллионами полигонов даже на относительно слабых компьютерах. Все в ней направлено на удобную и качественную работу со сложными объектами без ущерба производительности. 

.

**Что на пробном уроке?**

На пробном уроке ученик знакомится с интерфейсом программы, базовыми командами и инструментами. Также поэкспериментирует с ""цифровой глиной"", научится работать с цветом и материалами. В итоге создаст первого высокополигонального персонажа.

.

**Результат в конце курса какой?**

Собственное портфолио. Ряд практических навыков и знаний, которые могут применять в различных областях, требующих владения 3D-графикой и анимацией.

.

**Вау эффект какой?**

Возможность создавать впечатляющие 3D-модели, анимировать их, визуализировать и рендерить с высоким качеством.

.

Обязательна установка программы для первого занятия. На английском языке материалов нет. Целью обучения является создание персонажей и животных (посредством лепки). Рекомендовано изучение после базы на Sculptris или Blender, но можно записывать и без них. Идеально даже совмещать Blender и Zbrush. Возможны занятия на графическом планшете. На изучение данного курса на базовом уровне без дополнительных тем потребуется около 40 часов.

На углубленном уровне до 60 часов.

.

**Системные требования**

• Операционная система: Windows 10 x64, Mac OS 10\.13 и выше;

• Процессор: с тактовой частотой не менее 2 ГГц, желательно 4-х, 6-ти ядерный;

• Установленный интернет браузер Google Chrome;

• Оперативная память: 16 ГБ (рекомендованная 32 ГБ);

• Видеокарта с поддержкой DirectX 12 и 4 Гб видеопамяти (рекомендовано графический

процессор с поддержкой DirectX 12 и 12 ГБ видеопамяти ГП или больше);

• Место на жестком диске: не менее 20 ГБ свободного пространства на жёстком диске;";1.2;1.2;1;1;Нет;;Да;;Дизайн и творчество;visible;;"ru, en, fr, es";ru;https://docs.google.com/document/d/1tkfCCzlc7nK2NUy5scMoWSzcWQYxQ1Tv/edit
28;3D-моделирование: Blender;Шабунько Дмитрий;aB57S7cbrCjXtYqcz;12;;Доступно;2;https://docs.google.com/document/d/1tJd36NAAbSqauSM0qVhd7r3_hTN9DBy5/edit;JZq9c9ZgK8z44YRL6;"Windows, MacOS, Linux";;Да;"Индивидуально-групповой, Индивидуальный";"Курс для будущих 3d моделлеров. Возможность научится работать в профессиональной программе для 3D-моделирования: создавать персонажей, сцены и анимации. Курс развивает пространственное мышление и открывает путь в геймдев, анимацию и архитектуру.";https://itgen.io/design/3d-modeling/blender;https://itgen.io/3d-blender-gena;;"[#blender\_party](https://itgenio.slack.com/archives/CUDP4Q1L3)

[**Визитка направления.**](https://editor.itgen.io/editor/kARLJN0ad4N6LW)

.

**🎨 Blender — создание 3D-моделей и анимации**

.

Blender — это профессиональная программа, в которой создают 3D-модели, анимации и визуальные эффекты. На этом курсе ребёнок научится создавать персонажей, предметы, сцены и даже целые виртуальные миры. Такие навыки используют в мультфильмах, компьютерных играх, рекламе и архитектуре.

.

**Почему Blender актуален именно сейчас**

*   3D-графика везде.  Игры, фильмы, реклама, YouTube — везде нужны специалисты по 3D.
*   Инструмент мирового уровня. Blender используют как начинающие, так и профессиональные студии. Он бесплатный и доступный, но с мощными возможностями.
*   Творчество без границ. Можно воплотить любую идею: от мультипликационного персонажа до реалистичной квартиры или сложной анимации.
*   Подходит для старших детей. С 11 лет — при опыте в Tinkercad или Sculptris, с 12 лет — без ограничений.

.

**🎓 Чему научим**

1.  Работать в Blender: моделировать объекты, анимировать их, настраивать материалы и освещение для реалистичного вида
2.  Создавать персонажей, объекты и сцены с нуля
3.  Использовать физические симуляции — эффекты движения тканей или жидкостей для более реалистичной анимации
4.  Разрабатывать дизайн интерьеров и архитектурных объектов
5.  Подготавливать проекты для обработки, для достижения высокого качества детализации
6.  **Опционально:** Подготовим модель под печать и создадим файлик для печати .STL/ НО пользоваться вашим принтером не научим (производителей много, у каждого производителя свой софт под эти файлики и тд.)

.

**🎯 Что получит ребёнок**

*   Портфолио 3D-работ: персонажи, сцены, анимации
*   Навыки, которые востребованы в геймдеве, анимации, рекламе и архитектуре
*   Опыт работы в профессиональной программе мирового уровня
*   Уверенность в реализации собственных творческих идей

.

**🧊 Что будет на пробном?**

Ученик познакомится с интерфейсом Blender и основными окнами программы. Он научится ориентироваться в 3D-пространстве, управлять камерой и выполнять базовые действия с объектами в объектном режиме: добавлять их на сцену, перемещать, вращать и масштабировать.

Главный результат — создание первой 3D-сцены. Ребенок применит полученные навыки на практике, смоделировав стаканчик бабл-ти с кубиками льда, и увидит, как из простых геометрических фигур создаются объемные объекты.

**🚀 Дальнейшие шаги**

После Blender ребёнок сможет:

*   Перейти в геймдев (создание игр) — создавать наборы 3D-объектов для игр в Unity или Unreal Engine
*   Попробовать себя в Цифровой анимации

.

**📚 Программа курса — 70 часов (9 тем)**

*   Основы работы в Blender: интерфейс, инструменты, простые модели
*   Моделирование персонажей и предметов
*   Создание материалов и текстур
*   Освещение и камера
*   Анимация объектов и персонажей
*   Физические симуляции (ткань, жидкость, частицы)
*   Дизайн интерьеров и архитектура
*   Рендеринг и постобработка
*   Итоговый проект для портфолио

.

**💥 Вау-эффект**

Ребёнок сможет создавать реалистичные 3D-сцены, анимации и персонажей, как в любимых играх и мультфильмах. Проекты будут выглядеть профессионально — их можно показывать на конкурсах или использовать в будущем портфолио.

.

**💻 Системные требования**

*   ОС: Windows 8/10 x64 или macOS 10\.9\+
*   ОЗУ: 8–16 ГБ
*   Процессор: 4 ядра от 2,5 ГГц
*   Видеокарта: с поддержкой OpenGL 3\.2, 2–4 ГБ памяти
*   Свободное место: 500 МБ";1.2;1.2;1;1;Нет;;Да;;Дизайн и творчество;visible;;"ru, en, es";"ru, en";https://docs.google.com/document/d/1tJd36NAAbSqauSM0qVhd7r3_hTN9DBy5/edit
11;3D-моделирование: Sculptris;Гинько Елена;q9bu3BwbmAny9miDE;10;;Доступно;2;https://stephaneginier.com/sculptgl/;;"Windows, MacOS, Linux, ChromeOS";"Android, iPad";Нет;"Индивидуальный, Индивидуально-групповой";"Курс для начинающих моделлеров: цифровая лепка из виртуального пластилина. Создание сложных скульптур, животных и персонажей, ярких и детальных, для 3d анимации, дизайна, 3d печати. Возможность продолжать занятия в редакторах ZBrush и Blender.";https://itgen.io/design/3d-modeling/sculptris;https://itgen.io/3d-sculptris-gena;;"[#sculptris](https://itgenio.slack.com/archives/CG9LY3JH1)

**Рекомендуем новым клиентам ТОЛЬКО В КРАЙНЕМ СЛУЧАЕ  (если хотят ТОЛЬКО это и больше НИЧЕГО нет)**

**Не работает в РФ без VPN**

**Чему научим?**

Ребенок учится основам 3Д моделирования по принципу скульптинга (лепки), ориентироваться в 3Д пространстве,  изучает пропорции, текстуры и различные особенности работы с виртуальной глиной.

.

**Особенности в обучении?**

Весь курс состоит только из практических материалов. Ученик учится работать по инструкции, параллельно изучая новые возможности программы. Также, во время курса, тренер уделяет внимание развитию фантазии и умению лепки собственных моделей ученика.

.

**Что на пробном уроке?**

На первом уроке ученик работает над своим первым 3Д проектом ""Авокадо"". В этом проекте подробно рассматриваются базовые инструменты 3Д скульптинга (трансформация, 3д расплющить, 3д тянучка и многие другие)

.

**Результат в конце курса какой?**

Ребята научатся:

Ориентироваться в 3Д пространстве;

Поворачивать, изменять размеры, передвигать 3Д объекты в трех плоскостях;

Распознавать 3Д-формы с 2Д-изображений или предметов, которые нас окружают в жизни (из каких форм состоит стол, здание, персонаж и тд.);

Использовать все инструменты программы 3D Sculptris (3D Кисть, 3D Надуть, 3D Закручивание, 3D Маска, Трансформация и тд.);

Импортивать и экспортировать готовые 3D объекты;

Менять параметры инструментов (работать с негативом, симметрией, тонкой поверхностью и тд.);

Работать с топологией, перестраивать сетку, изменять количество полигонов;

Импортировать 2Д-текстуры и правильно их использовать;

Работать с визуализацией (подбирать шейдеры, материал, прозрачность);

""

.

**Вау эффект какой?**

Ученик сможет собрать портфолио из моделей и персонажей любимых игр и мультфильмов.

.

Установка программы не требуется (работаем в онлайн версии). Целью обучения является получение навыков моделирование 3Д-объектов по принципу “лепки”. Развитие пространственного мышления, умение проектировать и воплощать реальные объекты в 3Д-модели. Понимание пропорций предметов, персонажей, человека и тд.. Если текущий ученик 10 лет, захотел создавать именно такие проекты, то его можно сразу на Sculptris. Если цели создания персонажей нет, то лучше направить на Tinkercad. Следующая ступенька после изучения Sculptris -  ZBrush или Blender.

.

Среднее кол-во часов в курсе - 30-40\.

.

**Системные требования:** • Операционная система: Windows 7/8/8\.1/10 x64, Mac OS X 10\.9, 10\.10, 10\.11 и выше; • Оперативная память: от 2 Гб и выше, процессор: 2 ядерный процессор от 1\.8 ГГц;";1;1;1;1;Нет;;Да;;Дизайн и творчество;visible;;"ru, en, es";"ru, en";https://stephaneginier.com/sculptgl/
10;3D-моделирование: Tinkercad;Гинько Елена;q9bu3BwbmAny9miDE;7;12;Доступно;2;;5Kb2nWCySxGZGezR2;"Windows, MacOS, Linux, ChromeOS";"Android, iPad";;"Индивидуально-групповой, Индивидуальный";"Мы научимся работать в 3D-пространстве, создавать собственные объекты и персонажей. Уже с первых уроков  будем собирать свои модели и сделаем первые шаги в мир 3D-дизайна и технологий будущего.";https://itgen.io/design/3d-modeling/tinkercad;https://itgen.io/3d-tinkercad-gena;;"**тинкер из РФ не работает и нужен впн уже на ПРОБНОЕ**

[#3d\_tinkercad](https://itgenio.slack.com/archives/CH72V923E)

**.**

[**Визитка направления.**](https://editor.itgen.io/editor/HLO-l16UuEhMJ0)

.

**🖥️ Tinkercad — первый шаг в 3D-моделирование**

Tinkercad — это простая и понятная онлайн-программа, с которой легко начать путь в 3D-моделирование. На курсе ребёнок создаёт собственные объекты и персонажей, учится ориентироваться в 3D-пространстве и превращать свои идеи в реальные модели.

.

Почему Tinkercad актуален именно сейчас

*   3D — технология будущего. Печать деталей на 3D-принтере, разработка игр, дизайн — всё это начинается с умения создавать 3D-модели.
*   Простой старт. Интерфейс Tinkercad интуитивный, а обучение проходит через интересные задания и творческие проекты.
*   От идеи к результату. Уже на первом занятии ребёнок создаёт свой первый 3D-объект.
*   Плавный переход к более сложным программам. После Tinkercad легко перейти к более сложным, взрослым программам — Sculptris, Blender или ZBrush.

.

**🎓 Чему научим**

*   Разбираться в 3D-пространстве и уверенно работать в нём
*   Создавать объекты — от кубика до сложной модели
*   Настраивать внешний вид: размер, форма, цвет
*   Переделывать и дополнять модели по своим идеям
*   Использовать и изменять готовые модели из библиотеки
*   Замечать, из каких деталей состоят вещи вокруг нас, и воссоздавать их в 3D

.

🎯 Что получит ребёнок

*   Портфолио из собственных 3D-моделей: персонажи игр, предметы интерьера, техника
*   Навыки работы в Tinkercad — первом шаге в 3D-модeлирование
*   Логическое и пространственное мышление
*   Уверенность в реализации собственных идей

.

**🧊 Что будет на пробном?**

Ученик познакомится с платформой Tinkercad и научится работать в трёхмерном пространстве. Он освоит навигацию по сцене — вращение, масштабирование и перемещение вида, а также научится управлять базовыми геометрическими формами, настраивая их размеры и положение.

Главный результат — создание первого 3D-проекта (модели домика) из комбинации различных фигур. Ребенок поймет принципы построения объектов в объеме и научится точно совмещать детали между собой.

.

**Важно для родителя:** Для работы на уроке обязательно наличие компьютерной мыши (работать на тачпаде будет крайне неудобно).

.

**🚀 Дальнейшие шаги**

После Tinkercad ребёнок сможет перейти к:

*   🎨 Цифровая живопись — научиться рисовать персонажей, которых потом сможет воплощать в 3D пространстве
*   🎨Sculptris — создание более сложных органичных форм и персонажей
*   🖌️ Blender или ZBrush (с 12 лет) — профессиональное 3D-моделирование и анимация
*   🕹️ 3D для игр — создание моделей для игр

.

**📚 Программа курса — 30–40 часов**

*   Основы работы в Tinkercad, знакомство с интерфейсом
*   Создание простых объектов и их модификация
*   Построение сложных форм и комбинаций
*   Работа с отверстиями, зеркалом, выравниванием
*   Импорт и экспорт готовых моделей
*   Итоговый творческий проект

.

**💥 Вау-эффект**

Ребёнок создаёт своих героев, автомобили, здания и предметы интерьера в 3D. Эти модели можно не только показать друзьям, но и напечатать на 3D-принтере.

.

**💻 Системные требования**

*   ОС: Windows 8/10 или macOS 10\.9\+
*   ОЗУ: от 2 ГБ
*   Процессор: от 2 ядер, от 1\.8 ГГц
*   Мышь: обязательна (две кнопки \+ колесо прокрутки)

Программа: не требуется установка, Tinkercad работает в браузере

Для детей 7 лет - пн обязательны! Лучше записать на индивидуальную КГ (если не умеет читать - ЮП) \+Тинкеркад.

**.**

**Условия для пробного занятия:**

**обязательна компьютерная мышь с двумя клавишами** **и колесом прокрутки**

**Если ребёнку важно именно 3D.**

**На Tinkercad в 11 лет уже не записывают** — этот курс считается слишком базовым для такого возраста.

Если по возрасту ребёнок ещё не подходит для Blender (курс с 12 лет), то оптимальный вариан**т — Sculptris.**

**Дополнение по 10-летним.**

Если ребёнку 10 лет, он очень хочет заниматься 3D и уже имеет хороший опыт работы за компьютером или самостоятельно что-то изучал, **— его также можно записать на Sculptris, иначе Тinkercad будет слишком простым и скучным.**";0.9;0.9;1;1;Нет;;Да;;Дизайн и творчество;visible;;"ru, en, es";"ru, en";
EoywvoPMM8soTJ5Hx;Английский язык;Шишикина Анастасия;2QoskkF7CoeevZmXh;8;;Доступно;1;;;"Windows, MacOS, Linux, ChromeOS";"Android, iPad";;"Индивидуальный, Групповой";"Занятия помогают свободно говорить, понимать и думать на английском! Упор делается на практику и уверенность в общении. Курс подходит как для начинающих, так и для тех, кто хочет повысить уровень английского языка до С1.";https://itgen.io/kursy-inostrannyh-yazykov-dlya-detey/angliyskiy-yazyk;https://itgen.io/english_gena;;"**Не записывать на это направление клиентов с ЯО ""английский""!!!!!!**

.

[#english\_classes\_аки](https://itgenio.slack.com/archives/C01CUU27DMF)

.

**🇬🇧 Английский язык — уверенное общение без барьеров**

Наш курс помогает детям говорить, понимать и думать на английском. Мы учим не зубрить слова и правила, а использовать язык в жизни: в разговоре, переписке, при просмотре фильмов и чтении книг.

.

**Почему учить английский важно уже сейчас**

*   Английский открывает двери. Это язык международного общения, путешествий, карьеры и интернета.
*   Чем раньше — тем проще. Дети легче усваивают произношение и грамматику, когда начинают в младшем возрасте.
*   Практика, а не только теория. Мы учим через реальные ситуации: от заказа еды до обсуждения фильмов и любимых игр.
*   Уверенность в себе. Ребёнок перестаёт бояться говорить и ошибаться, ведь обучение проходит в поддерживающей атмосфере.

.

**🎓 Чему научим**

*   Грамотно строить предложения и свободно общаться на английском
*   Понимать носителей языка на слух
*   Читать и понимать книги, рассказы, статьи
*   Правильно произносить слова и интонировать фразы
*   Использовать новые слова и грамматические конструкции в своей речи

.

**🎯 Что получит ребёнок**

*   Уверенность в разговорной речи
*   Словарный запас, достаточный для общения и переписки
*   Навык понимать фильмы, видео и песни на английском
*   Умение свободно выражать своё мнение и аргументировать его
*   Осознанное использование грамматики и времён
*   Если старт с нуля — умение представиться, рассказать о себе и поддержать простой диалог

.

**🇬🇧 Что будет на пробном?**

Ученик определит свой текущий уровень владения языком через живое общение с тренером и интерактивные задания, такие как «колесо вопросов». Это поможет выявить сильные стороны в коммуникации и обнаружить пробелы, требующие внимания.

В ходе занятия решаются ключевые задачи:

*   Постановка целей: С помощью специального инструмента «компас» и обсуждения с тренером ребенок сформулирует желаемые результаты, сроки обучения и выберет аспекты языка, на которых хочет сделать упор.
*   Знакомство с форматом: Ученик изучит возможности платформы и увидит, как работают видеоматериалы в обучении.
*   Работа над первым проектом: Во второй половине урока ребенок получит свой первый тематический проект. Он сразу начнет практиковать лексику и грамматику, а также задействует основные навыки: чтение, аудирование, письмо и говорение.

**🚀 Дальнейшие шаги**

*   После основного курса ребёнок сможет:
*   Присоединиться к Speaking Club со сверстниками
*   Продолжить изучать язык с носителем
*   Перейти на углублённый курс для подготовки к экзаменам (PET, FCE и др.)
*   Начать изучать специализированный английский — для путешествий, IT или творческих направлений

.

**📚 Формат и особенности**

*   Индивидуальные занятия с русскоговорящим тренером
*   Возможность занятий с носителями языка
*   Подбор тем и материалов под интересы ребёнка
*   Максимум разговорной практики на каждом занятии
*   Интерактивные задания, видео и игры для закрепления
*   Повторение материала на нашей онлайн-платформе
*   Возможны мини-группы (2–3 человека)

.

💥 Вау-эффект

Ребёнок начинает думать на английском и чувствует себя уверенно в общении: от разговора с иностранцем до просмотра фильма без субтитров.

.

**Speaking Club**

[https://www.notion.so/Speaking-Club-\_-fa8c3f0b456d4d19acb0e5d3bf2af564](https://www.notion.so/Speaking-Club-_-fa8c3f0b456d4d19acb0e5d3bf2af564)

Описание на тильда: [https://itgen.io/speaking-club](https://itgen.io/speaking-club)";1;1;1;1;Нет;;Да;;Иностранные языки;visible;;"ru, en, es";ru;
Me2omeDWgNXy8R7TC;Английский язык 30;Шишикина Анастасия;2QoskkF7CoeevZmXh;5;7;invisibly;1;;;"Windows, MacOS, Linux, ChromeOS";;;Индивидуальный;"Курс рекомендован для начинающих. Одновременная тренировка всех видов речевой деятельности: говорение, понимание на слух, чтение и письмо.";https://itgen.io/kursy-inostrannyh-yazykov-dlya-detey/angliyskiy-yazyk;https://itgen.io/english_gena;;;1;1;0.7;1;Нет;;;;Дошкольные программы;invisibly;;ru;;
Y8n3Skqa3rEsxuFnu;Английский язык с носителем;Шишикина Анастасия;2QoskkF7CoeevZmXh;8;;Доступно;1;;;"Windows, MacOS, Linux, ChromeOS";"Android, iPad";;"Индивидуальный, Групповой";"Курс рекомендован тем, кто хочет повысить уровень английского языка. 
Практикуем говорение, чтение и изучаем грамматику с носителем языка.";https://itgen.io/kursy-inostrannyh-yazykov-dlya-detey/angliyskiy-yazyk;https://itgen.io/english_gena;;"Направление для желающих прокачать свой уровень языка и научиться свободно выражать свои мысли, наслаждаться просмотром фильмов на английском языке. На занятиях много разговариваем, изучаем новую лексику, тренируемся воспринимать устную речь на слух. Мы предлагаем индивидуальный формат занятий и максимальное количество внимания от преподавателя. Обучающиеся занимаются с носителями языка, что помогает им максимально быстро и плавно влиться в языковую среду.

Запись на направление от уровня B1\.";1;1;1.2;1;Нет;;Да;;Иностранные языки;visible;;"ru, en, es";"ru, es";
Gb8bCkcMM77dvJ9XL;Английский язык с носителем 30;Шишикина Анастасия;2QoskkF7CoeevZmXh;7;;onlyAdmin;0.5;;;"Windows, MacOS, Linux, ChromeOS";;;Индивидуальный;"Курс рекомендован тем, кто хочет повысить уровень английского языка. 
Практикуем говорение, чтение и изучаем грамматику с носителем языка.";https://itgen.io/kursy-inostrannyh-yazykov-dlya-detey/angliyskiy-yazyk;;;"Направление для желающих прокачать свой уровень языка и научиться свободно выражать свои мысли, наслаждаться просмотром фильмов на английском языке. На занятиях много разговариваем, изучаем новую лексику, тренируемся воспринимать устную речь на слух. Мы предлагаем индивидуальный формат занятий и максимальное количество внимания от преподавателя. Обучающиеся занимаются с носителями языка, что помогает им максимально быстро и плавно влиться в языковую среду.

Запись на направление от уровня B1\.";1;1;1.2;1;Нет;;;;Иностранные языки;onlyAdmin;;"ru, en";"ru, en";
gje7EGtMWAs8RugdF;Английский язык: экзамены;Шишикина Анастасия;2QoskkF7CoeevZmXh;15;;Доступно;1;;;"Windows, MacOS, Linux, ChromeOS";"Android, iPad";;Индивидуальный;"Курс для подготовки к ЕГЭ, ОГЭ, ЦТ и международным экзаменам: IELTS, TOEFL.  Детальный анализ знаний, составление индивидуального плана. Распределение времени на экзамене, быстрое решения заданий.";https://itgen.io/kursy-inostrannyh-yazykov-dlya-detey/angliyskiy-yazyk;;;;1;1;1.2;1;Нет;;Да;;Иностранные языки;visible;;"ru, en, es";ru;
13;Анимация в After Effects;Вишневецкая Александра;kqhRM9KRgfvetQsw5;12;;onlyAdmin;2;;;"Windows, MacOS, Linux, ChromeOS";;Да;"Индивидуально-групповой, Индивидуальный";"Курс для продвинутых клипмейкеров, будущих аниматоров. Выпускник научится создавать крутые интро, анимацию иллюстраций и персонажей, основы анимации интерфейсов для UI/UX и графического дизайна.";https://itgen.io/aftereffects-gena;https://itgen.io/aftereffects-gena;;"[#after-effects](https://itgenio.slack.com/archives/C03ECC2886L)

**Чему научим?**

-Разберемся с интерфейсом программы. 

-Научимся создавать базовую и сложную анимацию. Создадим анимированные

композиции из готовых изображений, научимся рисовать анимацию самостоятельно,

научимся применять анимацию в видеороликах.

-Научимся создавать яркие и уникальные анимированные эффекты для текста, анимации,

видео и других композиций.

-Научимся создавать спецэффекты для видеороликов. Разберем основы для создания трюков

как в тик-токе и инстаграме.

.

**Особенности в обучении?**

Практикуемся в создании как видео, так и шейповой анимации, заставок, текстов и визуальных трюков.

Индивидуальный подход! Разрабатываем проекты с учетом индивидуальных интересов и вкусов ребенка.

Создаем конкретные эффекты, которые ребенок лично хотел бы использовать в своих работах.

.

**Что на пробном уроке?**

- Знакомство с возможностями программы. 

-Изучение инструментов.

-Знакомство с техникой базовой анимации всего по ключевым кадрам.

-Создание первого анимированного ролика с отработанными техниками анимации по разным параметрам.

.

**Результат в конце курса какой?**

-Умение рисовать анимации, небольшие мультики и заставки

-Умение создавать переходы и эффекты для видео, а так же анимированные текстовые модули.

-Умение взаимодействовать с другими программами Adobe

-Наличие арсенала уникальных приемов, для создания контента в моушн дизайне

.

**Вау эффект какой?**

Ребенок повторит заставки или интересно обработанные ролики, которые раньше мог видеть в тик-токе и вдохновляться ими.

Кроме того, ребенок получит возможность визуализировать самые смелые фантазии. 

.

Обязательна установка программы для первого занятия (нужен мощный компьютер с ОП - не меньше 4 ГБ, но лучше больше). 

.

СРЕДНЕЕ кол-во часов в курсе - 35-45\. 

.

Системные требования: • Операционная система: Windows 7/8/8\.1/10 x64, Mac OS X 10\.9, 10\.10, 10\.11 и выше; • Оперативная память: 4 Гб и выше, процессор: 4 ядерный процессор от 2 ГГц;";1.1;1.1;1;1.1;Нет;;;;Дизайн и творчество;onlyAdmin;;"ru, en, es";"ru, en";
